CountryID,Year,CountryName,Region,IncomeLevel,FDINet,FDIInflowstoGDP,FDIInflows,FDIOutflowsPercent,FDIOutflows,GDP,GDPGrowth,GrossNationalSpending,InflationConsumerPrices,InflationRate,InflationPercent,GoodsNetTrade,GoodsandServicesNetTrade,TradePercent,ServicesTradedPercent,GovernmentSpendingToGDP,GovernmentSpendingAnnualGrowth,GovernmentSpending,GovernmentEducationSpendingToGDP,GovernmentEducationSpendingToTotalSpending,GovernmentMilitarySpendingToGDP,GovernmentMilitarySpendingToTotalSpending,GovernmentMilitarySpending,ElectricityAccess,AgriculturalCarbonDioxide,TransportCarbonDioxide,WasteCarbonDioxide,ForestArea,RenewableEnergyConsumption,TotalGreenhouseGas,LongTermExternalDebt,TotalPSD,LongTermPSD,ShortTermPSD,InterestPaymentsPercent,ExternalDebt,TotalDebt,FemaleLifeExpectancy,MaleLifeExpectancy,TotalLifeExpectancy,AdultLiteracyRate,YouthLiteracyRate,BasicDrinkingWater,SafelyManagedDrinkingWater,BasicHandwashing,PovertyRatio,NationalPovertyRatio,SocialPovertyRatio,UnemploymentwithAdvancedEducation,UnemploymentwithBasicEducation,UnemploymentWithintermediateEducation,TotalUnemployment,YouthUnemployment,ExchangeRate
MAR,2021,Morocco,Middle East & North Africa,Lower middle income,-1621385379,1.594223214,2264148625,0.452579869,642763246.5,1.42E+11,8.154738898,1.55E+11,1.40195884,2.415203557,2.415203557,-19967262331,-13124927044,75.52341718,16.89087437,18.97383835,7.19642443,2694735785,5.642734576,23.75648378,3.755156987,12.52667879,5378366535,100,0.2535,18.6408,,12.89033542,10.9,2.957243949,52524064482,,,,8.29,,4.73,76.398,71.893,74.042,,,86.84331424,74.59271296,,,,,25.34,14.64,25.96,12.28,31.76,8.988484024
ABW,2021,Aruba,Latin America & Caribbean,High income,-138400826.4,4.55871502,133545121.2,-0.165755037,-4855705.246,2929446578,24.13262736,3091605811,,-4.912624904,-4.912624904,-937882882.1,253587682.8,147.0155761,101.1957269,22.83175848,,668842625.7,,,,,,100,,0.1706,,2.333333333,8.8,4.932219127,,,,,,,,77.315,71.798,74.626,,,,,,,,,,,,,,1.79
AFG,2021,Afghanistan,South Asia,Low income,,0.215925455,30790960,0.215925455,30790960,14259995441,-20.73883937,17502819239,,2.838996251,2.838996251,,,51.41171637,,21.26238439,-25.42513882,3321544.45,,,1.827933856,1.526598534,27825788.15,97.7,0.0467,2.1142,,1.852781994,20,0.691070382,1925714305,,,,,,0.18,65.279,58.915,61.982,37,56,79.69307846,29.313843,47.36894465,,,,9.781,6.754,8.879,5.679,8.785,
AGO,2021,Angola,Sub-Saharan Africa,Lower middle income,3297745964,-6.548542276,-4355116553,-1.58990831,-1057370588,66505129988,1.199210521,52521725877,25.75429488,38.82372184,38.82372184,21786642289,14829788601,74.46449859,10.74183954,7.683454676,-1.739584933,519891519.7,2.297188886,6.91961235,1.399992786,6.679816568,98145111.87,48.2,,7.09,,52.98172239,52.9,1.865174326,55508015507,,,,,,16.3,64.307,59.029,61.643,,,57.44672553,,,,,,17.111,12.263,29.437,15.799,29.582,631.4419555
ALB,2021,Albania,Europe & Central Asia,Upper middle income,-1168644883,6.757906713,1218586452,0.276960629,49941569.83,18032010564,8.969553392,20434643106,2.041471631,3.444398809,3.444398809,-4513572352,-2392168078,75.59031609,33.90217443,12.83522445,1.438822557,231444929.5,3.225598812,9.833778381,1.24298884,3.869985139,22281454.12,100,0.0483,1.7487,0.0028,28.7919708,41.9,2.985880969,9094400773,16778606714,9866892202,6911714512,7.87,,4.98,79.173,74.087,76.463,,,95.08151344,70.70579506,,,,,10.379,10.109,13.279,11.474,27.069,103.52
AND,2021,Andorra,Europe & Central Asia,High income,-345268861.7,,,,,3324647529,8.28677879,,,2.558860694,2.558860694,-1327089217,271153904.5,,86.53952682,,,,2.583972216,1.264735222,,,,100,,,,34.04255319,18.4,,,,,,,,,,,,,,100,90.64000155,,,,,,,,,,0.845376564
ARE,2021,United Arab Emirates,Middle East & North Africa,High income,,5.430419471,22545950000,5.430419471,22545950000,4.15E+11,4.354755299,3.38E+11,0.179935336,13.84377034,13.84377034,,,186.1089326,,14.61893522,11.77231543,6661331329,3.894394147,14.75561466,,,,100,,36.2537,,4.467755562,1,26.83663925,,,,,0.4,,,80.937,77.216,78.71,98,100,100,,,,,,4.214,0.249,5.471,3.105,9.965,3.6725
ARG,2021,Argentina,Latin America & Caribbean,Upper middle income,-5114187942,1.368380832,6658049679,0.317298745,1543861738,4.87E+11,10.44181199,4.72E+11,,53.80208777,53.80208777,18695465615,14995374117,33.07868957,4.701860153,15.91581794,7.124584446,774465417.6,4.641172487,12.28489971,0.635538182,1.667727774,373433322.9,100,2.1242,46.9494,0.0117,10.40076395,9.2,8.1128999,1.75E+11,,,,6.52,,5.86,78.647,72.182,75.39,,,,,,0.9,37.3,23.8,3.426,10.395,10.645,8.736,23.239,94.99074167
ARM,2021,Armenia,Europe & Central Asia,Upper middle income,-341851473.7,2.640302812,366445214.8,0.17720227,24593741.11,13878908629,5.800000001,14969375707,7.184836294,6.900513658,6.900513658,-1504769053,-1115247228,79.66988882,22.60295774,13.64985257,-6.199999995,189445245.2,2.767849922,9.667343915,4.465144759,15.57616125,619435471.7,100,0.0446,2.3661,,11.53003161,9.1,3.602403538,11780711039,,,,10.36,,14.12,77.35,66.554,72.043,,,99.95489411,82.54877772,94.41437094,0.5,26.5,18.3,7.432,7.087,9.761,8.418,24.289,503.769675
ASM,2021,American Samoa,East Asia & Pacific,High income,,,,,,750000000,-0.782472613,,,4.842555686,4.842555686,,,136.8,,,,,,,,,,,,,,85.5,0.4,0.172676486,,,,,,,,,,,,,99.24475181,89.85454691,,,,,,,,,,1
